fee_rate,base_spread,lambda_inv,avg_gross_pnl,avg_fees,avg_penalty_inv,avg_net_pnl
0.0004,25.0,0.0002,4421.484,2144.875,0.7183200000000023,2275.891
0.0004,25.0,0.0005,4421.484,2144.875,1.795799999999981,2274.8135
0.0004,20.0,0.0002,4424.384,2604.4883,0.6981199999999992,1819.1969
0.0004,20.0,0.0005,4424.384,2604.4883,1.7452999999999843,1818.1498
0.0004,30.0,0.0002,3056.686,1835.1143,0.8506000000000009,1220.7212
0.0004,30.0,0.0005,3056.686,1835.1143,2.126499999999981,1219.4453
0.0004,15.0,0.0002,4280.0225,3245.0474,0.8552000000000005,1034.1206
0.0004,15.0,0.0005,4280.0225,3245.0474,2.1379999999999795,1032.8379
0.0004,10.0,0.0002,3834.6055,4116.337,0.7937200000000002,-282.5254
0.0004,10.0,0.0005,3834.6055,4116.337,1.9842999999999837,-283.71594
